,Date,Season,Regular Season,Home Team 1,Away Team 2,score1,score2,Home Team,Away Team,Home Team 1.1,Away Team 2.1,Streak Home Team,Streak Away Team,Did Star Player  play,Home Team Won,Weighted_Team_PER,Weighted_opposition_PER,win_streak_Home,lose_streak_Home,win_streak_Away,lose_streak_Away
0,27/10/2015,2015/2016,1,CHI,CLE,97,95,1,0,CHI,CLE,W0,W0,1,1,12.469305707015632,22.606882352941177,0,0,0,0
1,01/01/2015,2015/2016,1,ATL,DET,94,106,0,1,ATL,DET,W0,W0,1,0,14.316003909351899,14.461756291236062,0,0,0,0
2,27/10/2015,2015/2016,1,GSW,NOP,111,95,1,0,GSW,NOP,W0,W0,1,1,13.38971878108328,25.0,0,0,0,0
3,28/10/2015,2015/2016,1,ORL,WAS,87,88,0,1,ORL,WAS,W0,W0,0,0,14.955365296803652,19.8,0,0,0,0
4,28/10/2015,2015/2016,1,BOS,PHI,112,95,1,0,BOS,PHI,W0,W0,1,1,13.913511404561827,12.963125543635835,0,0,0,0
5,28/10/2015,2015/2016,1,DET,UTA,92,87,1,0,DET,UTA,W1,W0,0,1,14.461756291236062,18.3,1,0,0,0
6,28/10/2015,2015/2016,1,MIA,CHO,104,94,1,0,MIA,CHO,W0,W0,1,1,15.816376954192632,20.8,0,0,0,0
7,28/10/2015,2015/2016,1,BRK,CHI,100,115,0,1,BRK,CHI,W0,W1,0,0,14.408273039971531,21.492318992654774,0,0,1,0
8,28/10/2015,2015/2016,1,TOR,IND,106,99,1,0,TOR,IND,W0,W0,1,1,13.769058295964122,20.9,0,0,0,0
9,28/10/2015,2015/2016,1,MIL,NYK,97,122,0,1,MIL,NYK,W0,W0,0,0,14.825365730194893,14.374319203758903,0,0,0,0
10,28/10/2015,2015/2016,1,MEM,CLE,76,106,0,1,MEM,CLE,W0,L1,0,0,14.811153289949386,22.606882352941177,0,0,0,1
11,28/10/2015,2015/2016,1,OKC,SAS,112,106,1,0,OKC,SAS,W0,W0,1,1,13.080726131779471,24.246153846153845,0,0,0,0
