,Date,Season,Regular Season,Home Team 1,Away Team 2,score1,score2,Home Team,Away Team,Home Team 1.1,Away Team 2.1,Streak Home Team,Streak Away Team,Did Star Player  play,Home Team Won,Weighted_Team_PER,Weighted_opposition_PER,win_streak,lose_streak
0,27/10/2015,2015/2016,1.0,CHI,CLE,97.0,95.0,1.0,0.0,CHI,CLE,W0,W0,1.0,1.0,12.469305707015632,22.606882352941177,0,0
1,01/01/2015,2015/2016,1.0,ATL,DET,94.0,106.0,0.0,1.0,ATL,DET,W0,W0,1.0,0.0,14.316003909351899,14.461756291236062,0,0
2,27/10/2015,2015/2016,1.0,GSW,NOP,111.0,95.0,1.0,0.0,GSW,NOP,W0,W0,1.0,1.0,13.38971878108328,25.0,0,0
3,28/10/2015,2015/2016,1.0,ORL,WAS,87.0,88.0,0.0,1.0,ORL,WAS,W0,W0,0.0,0.0,14.955365296803652,19.8,0,0
4,28/10/2015,2015/2016,1.0,BOS,PHI,112.0,95.0,1.0,0.0,BOS,PHI,W0,W0,1.0,1.0,13.913511404561827,12.963125543635835,0,0
5,28/10/2015,2015/2016,1.0,DET,UTA,92.0,87.0,1.0,0.0,DET,UTA,W1,W0,0.0,1.0,14.461756291236062,18.3,0,0
6,28/10/2015,2015/2016,1.0,MIA,CHO,104.0,94.0,1.0,0.0,MIA,CHO,W0,W0,1.0,1.0,15.816376954192632,20.8,0,0
7,28/10/2015,2015/2016,1.0,BRK,CHI,100.0,115.0,0.0,1.0,BRK,CHI,W0,W1,0.0,0.0,14.408273039971531,21.492318992654774,1,0
8,28/10/2015,2015/2016,1.0,TOR,IND,106.0,99.0,1.0,0.0,TOR,IND,W0,W0,1.0,1.0,13.769058295964122,20.9,0,0
9,28/10/2015,2015/2016,1.0,MIL,NYK,97.0,122.0,0.0,1.0,MIL,NYK,W0,W0,0.0,0.0,14.825365730194893,14.374319203758903,0,0
10,28/10/2015,2015/2016,1.0,MEM,CLE,76.0,106.0,0.0,1.0,MEM,CLE,W0,L1,0.0,0.0,14.811153289949386,22.606882352941177,0,1
11,28/10/2015,2015/2016,1.0,OKC,SAS,112.0,106.0,1.0,0.0,OKC,SAS,W0,W0,1.0,1.0,13.080726131779471,24.246153846153845,0,0
12,28/10/2015,2015/2016,1.0,HOU,DEN,85.0,105.0,0.0,1.0,HOU,DEN,W0,W0,0.0,0.0,14.056677913679179,14.915460030165912,0,0
13,28/10/2015,2015/2016,1.0,POR,NOP,112.0,94.0,1.0,0.0,POR,NOP,W0,L1,0.0,1.0,15.288328693679762,25.0,0,1
14,28/10/2015,2015/2016,1.0,SAC,LAC,104.0,111.0,0.0,1.0,SAC,LAC,W0,W0,0.0,0.0,13.807294573201984,20.6,0,0
15,28/10/2015,2015/2016,1.0,PHO,DAL,95.0,111.0,0.0,1.0,PHO,DAL,W0,W0,0.0,0.0,13.565183530893892,14.673795025286406,0,0
16,28/10/2015,2015/2016,1.0,LAL,MIN,111.0,112.0,0.0,1.0,LAL,MIN,W0,W0,0.0,0.0,13.253370501773947,15.161460997442456,0,0
17,29/10/2015,2015/2016,1.0,IND,MEM,103.0,112.0,0.0,1.0,IND,MEM,L1,L1,0.0,0.0,13.898029954633024,17.7,0,1
18,29/10/2015,2015/2016,1.0,NYK,ATL,101.0,112.0,0.0,1.0,NYK,ATL,W1,L1,1.0,0.0,14.374319203758903,21.3,0,1
19,29/10/2015,2015/2016,1.0,LAC,DAL,104.0,88.0,1.0,0.0,LAC,DAL,W1,W1,1.0,1.0,15.505151554572654,14.673795025286406,1,0
20,30/10/2015,2015/2016,1.0,ORL,OKC,136.0,139.0,0.0,1.0,ORL,OKC,L1,W1,0.0,0.0,14.955365296803652,27.890315315315316,1,0
21,30/10/2015,2015/2016,1.0,PHI,UTA,71.0,99.0,0.0,1.0,PHI,UTA,L1,L1,0.0,0.0,12.963125543635835,18.3,0,1
22,30/10/2015,2015/2016,1.0,CLE,MIA,102.0,92.0,1.0,0.0,CLE,MIA,W1,W1,1.0,1.0,12.347307464705386,15.816376954192632,1,0
23,30/10/2015,2015/2016,1.0,DET,CHI,98.0,94.0,1.0,0.0,DET,CHI,W2,W2,0.0,1.0,14.461756291236062,21.492318992654774,2,0
24,30/10/2015,2015/2016,1.0,BOS,TOR,103.0,113.0,0.0,1.0,BOS,TOR,W1,W1,1.0,0.0,13.913511404561827,21.85290893015031,1,0
25,30/10/2015,2015/2016,1.0,ATL,CHO,97.0,94.0,1.0,0.0,ATL,CHO,W1,L1,1.0,1.0,14.316003909351899,20.8,0,1
26,30/10/2015,2015/2016,1.0,MIL,WAS,113.0,118.0,0.0,1.0,MIL,WAS,L1,W1,0.0,0.0,14.825365730194893,19.8,1,0
27,30/10/2015,2015/2016,1.0,SAS,BRK,102.0,75.0,1.0,0.0,SAS,BRK,L1,L1,1.0,1.0,14.623290043290043,14.408273039971531,0,1
28,30/10/2015,2015/2016,1.0,DEN,MIN,78.0,95.0,0.0,1.0,DEN,MIN,W1,W1,0.0,0.0,14.915460030165912,15.161460997442456,1,0
29,30/10/2015,2015/2016,1.0,HOU,GSW,92.0,112.0,0.0,1.0,HOU,GSW,L1,W1,0.0,0.0,14.056677913679179,23.101541472963056,1,0
30,30/10/2015,2015/2016,1.0,SAC,LAL,132.0,114.0,1.0,0.0,SAC,LAL,L1,L1,1.0,1.0,13.807294573201984,13.253370501773947,0,1
31,30/10/2015,2015/2016,1.0,PHO,POR,110.0,92.0,1.0,0.0,PHO,POR,L1,W1,0.0,1.0,13.565183530893892,15.288328693679762,1,0
32,31/10/2015,2015/2016,1.0,IND,UTA,76.0,97.0,0.0,1.0,IND,UTA,L2,W1,1.0,0.0,13.898029954633024,18.3,1,0
33,31/10/2015,2015/2016,1.0,WAS,NYK,110.0,117.0,0.0,1.0,WAS,NYK,W2,L1,1.0,0.0,13.85056530214425,14.374319203758903,0,1
34,31/10/2015,2015/2016,1.0,NOP,GSW,120.0,134.0,0.0,1.0,NOP,GSW,L2,W2,1.0,0.0,13.031279357231146,23.101541472963056,2,0
35,31/10/2015,2015/2016,1.0,MEM,BRK,101.0,91.0,1.0,0.0,MEM,BRK,W1,L2,0.0,1.0,14.811153289949386,14.408273039971531,0,2
36,31/10/2015,2015/2016,1.0,POR,PHO,90.0,101.0,0.0,1.0,POR,PHO,L1,W1,0.0,0.0,15.288328693679762,13.565183530893892,1,0
37,31/10/2015,2015/2016,1.0,LAC,SAC,114.0,109.0,1.0,0.0,LAC,SAC,W2,W1,1.0,1.0,15.505151554572654,23.6,1,0
38,01/11/2015,2015/2016,1.0,CHO,ATL,92.0,94.0,0.0,1.0,CHO,ATL,L2,W2,1.0,0.0,15.088621458995336,21.3,2,0
39,01/11/2015,2015/2016,1.0,BOS,SAS,87.0,95.0,0.0,1.0,BOS,SAS,L1,W1,1.0,0.0,13.913511404561827,24.246153846153845,1,0
